Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,51611,Civilian: Retirement Accrual,Civilian Retirement,458816,1,Adopted,458816
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,541969,1,Adopted,541969
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,51911,Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement),Misc. Personnel Adjustments,27752,1,Adopted,27752
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,52211,Stationery and Office Supplies,Services & Supplies,4000,1,Adopted,4000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,6000,1,Adopted,6000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,52411,Asphalt and Quarry Supplies (Including Infield Mix and Gravel),Services & Supplies,3000,1,Adopted,3000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,52519,Supplies: Miscellaneous Building,Services & Supplies,10000,1,Adopted,10000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,52914,Minor Tools and Equipment,Services & Supplies,1000,1,Adopted,1000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,52919,Supplies: Miscellaneous and Commodities,Services & Supplies,100000,1,Adopted,100000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,53119,"Miscellaneous Utilities (Steam, Heating, Fuel)",Services & Supplies,8450,1,Adopted,8450
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,53219,Rental: Miscellaneous,Services & Supplies,2300,1,Adopted,2300
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,53719,Miscellaneous Services,Services & Supplies,20000,1,Adopted,20000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,54619,Repair and Maintenance: Miscellaneous,Contract Services,2500,1,Adopted,2500
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,54919,Services: Miscellaneous Contract,Contract Services,55000,1,Adopted,55000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,1000,1,Adopted,1000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,55219,Miscellaneous Educational Expenditures,Travel & Education,3000,1,Adopted,3000
FY15-16,Expense,Public Works,Public Works,30652,Landscape Maintenance,1720,Comprehensive Clean-up,0,UNDETERMINED PROJECT,NB07,GROUNDS,51425,Health and Welfare Benefits,Allowances & Premiums,116627,1,Adopted,116627
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN03,SANITARY & STORM SEWER MGMT & DEVELOPMENT,56411,City Vehicle Rentals,Internal Services & Work Orders,5988,1,Adopted,5988
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,56411,City Vehicle Rentals,Internal Services & Work Orders,415555,1,Adopted,415555
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN03,SANITARY & STORM SEWER MGMT & DEVELOPMENT,56511,Radio Rentals,Internal Services & Work Orders,52054,1,Adopted,52054
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,56611,Work Order Expenditures,Internal Services & Work Orders,18250,1,Adopted,18250
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,57511,Furniture and Equipment: Additions (Fixed Asset Number Mandatory),Capital Acquistions,1000,1,Adopted,1000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,57611,Vehicle: Additions (Fixed Asset Number Mandatory),Capital Acquistions,175000,1,Adopted,175000
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,58521,Overhead: Departmental Cost Allocation,Overhead Allocations,278708,1,Adopted,278708
FY15-16,Expense,Public Works,Public Works,30532,Infrastructure Maint: Storm Drain,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN14,STORM DRAIN MANAGEMENT & MAINT,58522,Overhead: Central Services Cost Allocation,Overhead Allocations,401988,1,Adopted,401988
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,51111,Civilian: Regular,Civilian Salaries,3312413,1,Adopted,3312413
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,51212,Civilian: Other Overtime,Civilian Overtime,706000,1,Adopted,706000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,51421,Incentive and Special,Allowances & Premiums,25935,1,Adopted,25935
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,51511,Civilian: Paid Leave Charge,Civilian Salaries,983859,1,Adopted,983859
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,51611,Civilian: Retirement Accrual,Civilian Retirement,1415194,1,Adopted,1415194
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,1671682,1,Adopted,1671682
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,51911,Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement),Misc. Personnel Adjustments,104876,1,Adopted,104876
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,52211,Stationery and Office Supplies,Services & Supplies,12920,1,Adopted,12920
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",Services & Supplies,230,1,Adopted,230
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,8000,1,Adopted,8000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,52311,Maintenance Supplies,Services & Supplies,57830,1,Adopted,57830
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,52411,Asphalt and Quarry Supplies (Including Infield Mix and Gravel),Services & Supplies,62000,1,Adopted,62000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,52519,Supplies: Miscellaneous Building,Services & Supplies,35750,1,Adopted,35750
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,52917,Shoe/Boot Supplemental,Services & Supplies,9960,1,Adopted,9960
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,52919,Supplies: Miscellaneous and Commodities,Services & Supplies,330000,1,Adopted,330000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,53119,"Miscellaneous Utilities (Steam, Heating, Fuel)",Services & Supplies,11000,1,Adopted,11000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,53212,Rental: Equipment (Other Than Office Equipment),Services & Supplies,2000,1,Adopted,2000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,53219,Rental: Miscellaneous,Services & Supplies,8100,1,Adopted,8100
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,53719,Miscellaneous Services,Services & Supplies,50000,1,Adopted,50000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,54614,"Repair and Maintenance: Streets, Signals, and Sewers",Contract Services,300,1,Adopted,300
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,54619,Repair and Maintenance: Miscellaneous,Contract Services,43420,1,Adopted,43420
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,54629,Other Costs Services,Contract Services,25540,1,Adopted,25540
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,54919,Services: Miscellaneous Contract,Contract Services,391750,1,Adopted,391750
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,A481310,EPA,IN13,SANITARY SEWER MANAGEMENT & MAINT,54919,Services: Miscellaneous Contract,Contract Services,3669000,1,Adopted,3669000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,55112,Commercial Transportation,Travel & Education,80,1,Adopted,80
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,3100,1,Adopted,3100
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,55212,Registration and Tuition,Travel & Education,3000,1,Adopted,3000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,55219,Miscellaneous Educational Expenditures,Travel & Education,8700,1,Adopted,8700
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,55311,Memberships: Employee Association Dues,Travel & Education,3300,1,Adopted,3300
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,56113,Facilities: General Support,Internal Services & Work Orders,605199,1,Adopted,605199
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,56312,Duplicating,Internal Services & Work Orders,570,1,Adopted,570
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,56411,City Vehicle Rentals,Internal Services & Work Orders,986637,1,Adopted,986637
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN03,SANITARY & STORM SEWER MGMT & DEVELOPMENT,56411,City Vehicle Rentals,Internal Services & Work Orders,4540,1,Adopted,4540
FY15-16,Expense,Public Works,Public Works,30652,Landscape Maintenance,1720,Comprehensive Clean-up,0,UNDETERMINED PROJECT,NB07,GROUNDS,51511,Civilian: Paid Leave Charge,Civilian Salaries,328501,1,Adopted,328501
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,56511,Radio Rentals,Internal Services & Work Orders,197256,1,Adopted,197256
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,57511,Furniture and Equipment: Additions (Fixed Asset Number Mandatory),Capital Acquistions,10000,1,Adopted,10000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,57611,Vehicle: Additions (Fixed Asset Number Mandatory),Capital Acquistions,600000,1,Adopted,600000
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,58521,Overhead: Departmental Cost Allocation,Overhead Allocations,944295,1,Adopted,944295
FY15-16,Expense,Public Works,Public Works,30533,Infrastructure Maint: Sewer System,3100,Sewer Service Fund,0,UNDETERMINED PROJECT,IN13,SANITARY SEWER MANAGEMENT & MAINT,58522,Overhead: Central Services Cost Allocation,Overhead Allocations,1361984,1,Adopted,1361984
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51911,Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement),Misc. Personnel Adjustments,1043,1,Adopted,1043
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,1720,Comprehensive Clean-up,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51111,Civilian: Regular,Civilian Salaries,81382,1,Adopted,81382
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,1720,Comprehensive Clean-up,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,24172,1,Adopted,24172
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,1720,Comprehensive Clean-up,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,34769,1,Adopted,34769
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,1720,Comprehensive Clean-up,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,41070,1,Adopted,41070
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,1720,Comprehensive Clean-up,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,52411,Asphalt and Quarry Supplies (Including Infield Mix and Gravel),Services & Supplies,181288,1,Adopted,181288
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,1720,Comprehensive Clean-up,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,58521,Overhead: Departmental Cost Allocation,Overhead Allocations,19950,1,Adopted,19950
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,1720,Comprehensive Clean-up,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,58522,Overhead: Central Services Cost Allocation,Overhead Allocations,28774,1,Adopted,28774
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2216,Measure BB - Alameda County Transportation Commission Sales Tax,C491110,MEASURE BB STREETS & ROAD CATEGORY,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51111,Civilian: Regular,Civilian Salaries,136136,1,Adopted,136136
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2216,Measure BB - Alameda County Transportation Commission Sales Tax,C491110,MEASURE BB STREETS & ROAD CATEGORY,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51212,Civilian: Other Overtime,Civilian Overtime,130000,1,Adopted,130000
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2216,Measure BB - Alameda County Transportation Commission Sales Tax,C491110,MEASURE BB STREETS & ROAD CATEGORY,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51413,Standby Pay,Allowances & Premiums,8830,1,Adopted,8830
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2216,Measure BB - Alameda County Transportation Commission Sales Tax,C491110,MEASURE BB STREETS & ROAD CATEGORY,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,40434,1,Adopted,40434
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2216,Measure BB - Alameda County Transportation Commission Sales Tax,C491110,MEASURE BB STREETS & ROAD CATEGORY,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,58163,1,Adopted,58163
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2216,Measure BB - Alameda County Transportation Commission Sales Tax,C491110,MEASURE BB STREETS & ROAD CATEGORY,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,68703,1,Adopted,68703
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2216,Measure BB - Alameda County Transportation Commission Sales Tax,C491110,MEASURE BB STREETS & ROAD CATEGORY,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51911,Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement),Misc. Personnel Adjustments,18226,1,Adopted,18226
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2216,Measure BB - Alameda County Transportation Commission Sales Tax,C491110,MEASURE BB STREETS & ROAD CATEGORY,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,58521,Overhead: Departmental Cost Allocation,Overhead Allocations,57942,1,Adopted,57942
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2216,Measure BB - Alameda County Transportation Commission Sales Tax,C491110,MEASURE BB STREETS & ROAD CATEGORY,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,58522,Overhead: Central Services Cost Allocation,Overhead Allocations,83571,1,Adopted,83571
FY15-16,Revenue,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,41411,State Taxes: Gasoline Tax,Gas Tax,7060938,1,Adopted,7060938
FY15-16,Revenue,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,45722,Other Svc Charges: Damages to City Property - Materials,Service Charges,3000,1,Adopted,3000
FY15-16,Revenue,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,49112,Transfers from Undesignated Fund Balance,Transfers from Fund Balance,2130317,1,Adopted,2130317
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51111,Civilian: Regular,Civilian Salaries,850144,1,Adopted,850144
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51212,Civilian: Other Overtime,Civilian Overtime,84618,1,Adopted,84618
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,1650,1,Adopted,1650
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51511,Civilian: Paid Leave Charge,Civilian Salaries,252502,1,Adopted,252502
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51611,Civilian: Retirement Accrual,Civilian Retirement,363208,1,Adopted,363208
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,429038,1,Adopted,429038
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,52111,Agricultural Chemicals,Services & Supplies,1000,1,Adopted,1000
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,52211,Stationery and Office Supplies,Services & Supplies,27560,1,Adopted,27560
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",Services & Supplies,12710,1,Adopted,12710
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,23020,1,Adopted,23020
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,52311,Maintenance Supplies,Services & Supplies,10470,1,Adopted,10470
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,52411,Asphalt and Quarry Supplies (Including Infield Mix and Gravel),Services & Supplies,364397,1,Adopted,364397
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,52519,Supplies: Miscellaneous Building,Services & Supplies,15760,1,Adopted,15760
FY15-16,Expense,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,0,UNDETERMINED PROJECT,IN04,STREETS & SIDEWALKS MGMT & DEVELOPMENT,52888,Fuel,Services & Supplies,6270,1,Adopted,6270
