Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Type,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY14-15,Public Library,Library,61343, Golden Gate Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,99623,1,Adopted,99623
FY14-15,Public Library,Library,61343, Golden Gate Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51421,Incentive and Special,1599,1,Adopted,1599
FY14-15,Public Library,Library,61343, Golden Gate Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,3489,1,Adopted,3489
FY14-15,Public Library,Library,61343, Golden Gate Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51428,Premium: Bilingual,650,1,Adopted,650
FY14-15,Public Library,Library,61343, Golden Gate Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,24419,1,Adopted,24419
FY14-15,Public Library,Library,61343, Golden Gate Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,32821,1,Adopted,32821
FY14-15,Public Library,Library,61343, Golden Gate Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,45480,1,Adopted,45480
FY14-15,Public Library,Library,61343, Golden Gate Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51627,Retirement Contributions,422,1,Adopted,422
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,72522,1,Adopted,72522
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,25532,1,Adopted,25532
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51421,Incentive and Special,1833,1,Adopted,1833
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,6978,1,Adopted,6978
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51428,Premium: Bilingual,3827,1,Adopted,3827
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,20040,1,Adopted,20040
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,26936,1,Adopted,26936
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,38587,1,Adopted,38587
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51627,Retirement Contributions,957,1,Adopted,957
FY14-15,Public Library,Library,61343, Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Internal Services & Work Orders,56113,Facilities: General Support,58402,1,Adopted,58402
FY14-15,Public Library,Library,61344, Lakeview Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,176797,1,Adopted,176797
FY14-15,Public Library,Library,61344, Lakeview Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51421,Incentive and Special,3432,1,Adopted,3432
FY14-15,Public Library,Library,61344, Lakeview Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,6978,1,Adopted,6978
FY14-15,Public Library,Library,61344, Lakeview Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,40615,1,Adopted,40615
FY14-15,Public Library,Library,61344, Lakeview Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,54590,1,Adopted,54590
FY14-15,Public Library,Library,61344, Lakeview Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,76504,1,Adopted,76504
FY14-15,Public Library,Library,61344, Lakeview Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51627,Retirement Contributions,1118,1,Adopted,1118
FY14-15,Public Library,Library,61344, Lakeview Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,46888,1,Adopted,46888
FY14-15,Public Library,Library,61344, Lakeview Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,13956,1,Adopted,13956
FY14-15,Public Library,Library,61344, Lakeview Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,3634,1,Adopted,3634
FY14-15,Public Library,Library,61344, Lakeview Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51627,Retirement Contributions,1759,1,Adopted,1759
FY14-15,Public Library,Library,61344, Lakeview Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Internal Services & Work Orders,56113,Facilities: General Support,50327,1,Adopted,50327
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB37,LIBRARY SYSTEMWIDE SUPPORT,Expense,Civilian Salaries,51111,Civilian: Regular,56233,1,Adopted,56233
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB37,LIBRARY SYSTEMWIDE SUPPORT,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,15539,1,Adopted,15539
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB37,LIBRARY SYSTEMWIDE SUPPORT,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,20886,1,Adopted,20886
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB37,LIBRARY SYSTEMWIDE SUPPORT,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,28386,1,Adopted,28386
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Services & Supplies,53211,Rental: Land and Building,134280,1,Adopted,134280
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,152684,1,Adopted,152684
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,145923,1,Adopted,145923
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51421,Incentive and Special,1599,1,Adopted,1599
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,10467,1,Adopted,10467
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51428,Premium: Bilingual,11068,1,Adopted,11068
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,42191,1,Adopted,42191
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,56709,1,Adopted,56709
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,88383,1,Adopted,88383
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51627,Retirement Contributions,5472,1,Adopted,5472
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Services & Supplies,53119,"Miscellaneous Utilities (Steam, Heating, Fuel)",40000,1,Adopted,40000
FY14-15,Public Library,Library,61345, Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Internal Services & Work Orders,56113,Facilities: General Support,11193,1,Adopted,11193
FY14-15,Public Library,Library,61346, Melrose Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,91889,1,Adopted,91889
FY14-15,Public Library,Library,61346, Melrose Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51421,Incentive and Special,3432,1,Adopted,3432
FY14-15,Public Library,Library,61346, Melrose Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,25392,1,Adopted,25392
FY14-15,Public Library,Library,61346, Melrose Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,34129,1,Adopted,34129
FY14-15,Public Library,Library,61346, Melrose Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,46385,1,Adopted,46385
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,60965,1,Adopted,60965
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,12868,1,Adopted,12868
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,6978,1,Adopted,6978
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51428,Premium: Bilingual,1386,1,Adopted,1386
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,16846,1,Adopted,16846
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,22643,1,Adopted,22643
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,31772,1,Adopted,31772
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51627,Retirement Contributions,483,1,Adopted,483
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Contract Services,54620,Maintenance and Security,27000,1,Adopted,27000
FY14-15,Public Library,Library,61346, Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Internal Services & Work Orders,56113,Facilities: General Support,75866,1,Adopted,75866
FY14-15,Public Library,Library,61347, Piedmont Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,91889,1,Adopted,91889
FY14-15,Public Library,Library,61347, Piedmont Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51421,Incentive and Special,3432,1,Adopted,3432
FY14-15,Public Library,Library,61347, Piedmont Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,25392,1,Adopted,25392
FY14-15,Public Library,Library,61347, Piedmont Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,34129,1,Adopted,34129
FY14-15,Public Library,Library,61347, Piedmont Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,46385,1,Adopted,46385
FY14-15,Public Library,Library,61347, Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,67630,1,Adopted,67630
FY14-15,Public Library,Library,61347, Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,44329,1,Adopted,44329
FY14-15,Public Library,Library,61347, Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,3489,1,Adopted,3489
FY14-15,Public Library,Library,61347, Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,18688,1,Adopted,18688
FY14-15,Public Library,Library,61347, Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,25119,1,Adopted,25119
FY14-15,Public Library,Library,61347, Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,37573,1,Adopted,37573
FY14-15,Public Library,Library,61347, Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51627,Retirement Contributions,1662,1,Adopted,1662
FY14-15,Public Library,Library,61347, Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Internal Services & Work Orders,56113,Facilities: General Support,13088,1,Adopted,13088
FY14-15,Public Library,Library,61348, West Oakland Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,48196,1,Adopted,48196
FY14-15,Public Library,Library,61348, West Oakland Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51421,Incentive and Special,1833,1,Adopted,1833
FY14-15,Public Library,Library,61348, West Oakland Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,13318,1,Adopted,13318
FY14-15,Public Library,Library,61348, West Oakland Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,17901,1,Adopted,17901
FY14-15,Public Library,Library,61348, West Oakland Branch,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,24329,1,Adopted,24329
FY14-15,Public Library,Library,61348, West Oakland Branch,2163,Metro Transportation Com: Program Grant,G330520 , BART PASS THRU/A QUICKER SAFER TRIP,NB17,BRANCH LIBRARY SERVICES,Revenue,Grants & Subsidies,46114,City Oakland Grant: Metropolitan Transportation Commission,72719,1,Adopted,72719
FY14-15,Public Library,Library,61348, West Oakland Branch,2163,Metro Transportation Com: Program Grant,G330520 , BART PASS THRU/A QUICKER SAFER TRIP,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,13581,1,Adopted,13581
FY14-15,Public Library,Library,61348, West Oakland Branch,2163,Metro Transportation Com: Program Grant,G330520 , BART PASS THRU/A QUICKER SAFER TRIP,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,3489,1,Adopted,3489
FY14-15,Public Library,Library,61348, West Oakland Branch,2163,Metro Transportation Com: Program Grant,G330520 , BART PASS THRU/A QUICKER SAFER TRIP,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,1053,1,Adopted,1053
FY14-15,Public Library,Library,61348, West Oakland Branch,2163,Metro Transportation Com: Program Grant,G330520 , BART PASS THRU/A QUICKER SAFER TRIP,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51627,Retirement Contributions,509,1,Adopted,509
FY14-15,Public Library,Library,61348, West Oakland Branch,2163,Metro Transportation Com: Program Grant,G330520 , BART PASS THRU/A QUICKER SAFER TRIP,NB17,BRANCH LIBRARY SERVICES,Expense,Contract Services,54919,Services: Miscellaneous Contract,50000,1,Adopted,50000
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51111,Civilian: Regular,102335,1,Adopted,102335
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,11883,1,Adopted,11883
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51421,Incentive and Special,1599,1,Adopted,1599
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,3489,1,Adopted,3489
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Allowances & Premiums,51428,Premium: Bilingual,594,1,Adopted,594
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,28278,1,Adopted,28278
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,38008,1,Adopted,38008
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,52579,1,Adopted,52579
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Civilian Retirement,51627,Retirement Contributions,446,1,Adopted,446
FY14-15,Public Library,Library,61348, West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB17,BRANCH LIBRARY SERVICES,Expense,Internal Services & Work Orders,56113,Facilities: General Support,146361,1,Adopted,146361
FY14-15,Public Library,Library,61511, African-American Museum Library,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Civilian Salaries,51111,Civilian: Regular,44676,1,Adopted,44676
FY14-15,Public Library,Library,61511, African-American Museum Library,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,12345,1,Adopted,12345
FY14-15,Public Library,Library,61511, African-American Museum Library,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,16593,1,Adopted,16593
FY14-15,Public Library,Library,61511, African-American Museum Library,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,22552,1,Adopted,22552
FY14-15,Public Library,Library,61511, African-American Museum Library,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Civilian Salaries,51111,Civilian: Regular,217864,1,Adopted,217864
FY14-15,Public Library,Library,61511, African-American Museum Library,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,21191,1,Adopted,21191
FY14-15,Public Library,Library,61511, African-American Museum Library,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",1650,1,Adopted,1650
FY14-15,Public Library,Library,61511, African-American Museum Library,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Allowances & Premiums,51425,Health and Welfare Benefits,3489,1,Adopted,3489
FY14-15,Public Library,Library,61511, African-American Museum Library,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Allowances & Premiums,51428,Premium: Bilingual,1170,1,Adopted,1170
FY14-15,Public Library,Library,61511, African-American Museum Library,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,60201,1,Adopted,60201
FY14-15,Public Library,Library,61511, African-American Museum Library,2241,Measure Q-Library Services Retention & Enhancement,0000000 , UNDETERMINED PROJECT,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,80917,1,Adopted,80917
