Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,P40200,HOUSEHOLD HAZ WASTE II,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",500,3,Proposed,500
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,7575,3,Proposed,7575
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,P40200,HOUSEHOLD HAZ WASTE II,PS23,FIRE PREVENTION BUREAU,Services & Supplies,53116,Telephone,6000,3,Proposed,6000
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,P40200,HOUSEHOLD HAZ WASTE II,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",1060,3,Proposed,1060
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,3100,Sewer Service Fund,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,27487,3,Proposed,27487
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,3360,3,Proposed,3360
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,P40200,HOUSEHOLD HAZ WASTE II,PS23,FIRE PREVENTION BUREAU,Services & Supplies,53611,Postage and Mailing,8040,3,Proposed,8040
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,P40200,HOUSEHOLD HAZ WASTE II,PS23,FIRE PREVENTION BUREAU,Internal Services & Work Orders,56312,Duplicating,6250,3,Proposed,6250
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,P40200,HOUSEHOLD HAZ WASTE II,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52211,Stationery and Office Supplies,430,3,Proposed,430
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,1360,3,Proposed,1360
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Internal Services & Work Orders,56113,Facilities: General Support,813,3,Proposed,813
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,3100,Sewer Service Fund,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Retirement,51611,Civilian: Retirement Accrual,23270,3,Proposed,23270
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,P40200,HOUSEHOLD HAZ WASTE II,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,10365,3,Proposed,10365
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,P40200,HOUSEHOLD HAZ WASTE II,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52629,"Supplies: Misc. Athletic, Craft, and Cultural",9735,3,Proposed,9735
FY15-16,Expense,Fire,Fire Department,20321,Technical Services,1720,Comprehensive Clean-up,P40200,HOUSEHOLD HAZ WASTE II,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52512,Supplies: Construction,500,3,Proposed,500
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,32970,3,Proposed,32970
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52629,"Supplies: Misc. Athletic, Craft, and Cultural",32730,3,Proposed,32730
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Retirement,51611,Civilian: Retirement Accrual,194925,3,Proposed,194925
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Salaries,51317,Allowance: Uniform,2135,3,Proposed,2135
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",2440,3,Proposed,2440
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Salaries,51111,Civilian: Regular,456248,3,Proposed,456248
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Overtime,51212,Civilian: Other Overtime,55650,3,Proposed,55650
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Salaries,51511,Civilian: Paid Leave Charge,135514,3,Proposed,135514
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Services & Supplies,53116,Telephone,2600,3,Proposed,2600
FY15-16,Expense,Fire,Fire Department,20331,Inspectional Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,230255,3,Proposed,230255
FY15-16,Expense,Fire,Fire Department,20341,Arson Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Salaries,51112,Sworn: Regular,278643,3,Proposed,278643
FY15-16,Expense,Fire,Fire Department,20341,Arson Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Salaries,51427,Fire: Holiday Pay Premiums,21906,3,Proposed,21906
FY15-16,Expense,Fire,Fire Department,20341,Arson Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Retirement,51612,Sworn: Retirement Accrual,133833,3,Proposed,133833
FY15-16,Expense,Fire,Fire Department,20341,Arson Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,143190,3,Proposed,143190
FY15-16,Expense,Fire,Fire Department,20341,Arson Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Salaries,51317,Allowance: Uniform,1812,3,Proposed,1812
FY15-16,Expense,Fire,Fire Department,20341,Arson Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Overtime,51216,Overtime: FLSA Premium,8433,3,Proposed,8433
FY15-16,Expense,Fire,Fire Department,20341,Arson Investigation,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Salaries,51512,Sworn: Paid Leave Charge,86454,3,Proposed,86454
FY15-16,Expense,Fire,Fire Department,20351,Engineering,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Retirement,51611,Civilian: Retirement Accrual,58633,3,Proposed,58633
FY15-16,Revenue,Fire,Fire Department,20351,Engineering,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Service Charges,45414,"Other Fees: Fire Plan Checking, Inspection and Testing",522660,3,Proposed,522660
FY15-16,Expense,Fire,Fire Department,20351,Engineering,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Salaries,51511,Civilian: Paid Leave Charge,40761,3,Proposed,40761
FY15-16,Expense,Fire,Fire Department,20351,Engineering,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Salaries,51111,Civilian: Regular,137238,3,Proposed,137238
FY15-16,Expense,Fire,Fire Department,20351,Engineering,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,69260,3,Proposed,69260
FY15-16,Revenue,Fire,Fire Department,20371,Vegetation Management,2330,Werner Court Vegetation Mgmt District,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Miscellaneous Revenue,48727,Other Revenue: Other Income,3200,3,Proposed,3200
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1710,Recycling Program,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52921,Miscellaneous Operating Expenditures,48870,3,Proposed,48870
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Retirement,51627,Retirement Contributions,2971,3,Proposed,2971
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Salaries,51317,Allowance: Uniform,1281,3,Proposed,1281
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Retirement,51611,Civilian: Retirement Accrual,88195,3,Proposed,88195
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,2330,Werner Court Vegetation Mgmt District,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Contract Services,54911,Services: Contract,3200,3,Proposed,3200
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52629,"Supplies: Misc. Athletic, Craft, and Cultural",6400,3,Proposed,6400
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Salaries,51511,Civilian: Paid Leave Charge,63953,3,Proposed,63953
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Services & Supplies,53719,Miscellaneous Services,106550,3,Proposed,106550
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Salaries,51111,Civilian: Regular,206431,3,Proposed,206431
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Salaries,51122,Temporary: Regular Part Time,76601,3,Proposed,76601
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Sworn Salaries,51428,Premium: Bilingual,1170,3,Proposed,1170
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Salaries,51425,Health and Welfare Benefits,6143,3,Proposed,6143
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1720,Comprehensive Clean-up,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Services & Supplies,52921,Miscellaneous Operating Expenditures,7510,3,Proposed,7510
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1710,Recycling Program,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,1360,3,Proposed,1360
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,109291,3,Proposed,109291
FY15-16,Expense,Fire,Fire Department,20371,Vegetation Management,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS23,FIRE PREVENTION BUREAU,Services & Supplies,53116,Telephone,1000,3,Proposed,1000
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Internal Services & Work Orders,56113,Facilities: General Support,2727812,3,Proposed,2727812
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Overtime,51216,Overtime: FLSA Premium,1232141,3,Proposed,1232141
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Services & Supplies,52911,Bottled Water and Food for Human Consumption,-270,3,Proposed,-270
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Internal Services & Work Orders,56123,City Accounting Services,98250,3,Proposed,98250
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,2321,Wildland Fire Prevention Assess District,0000000,UNDETERMINED PROJECT,PS20,DISPATCH COMMUNICATIONS,Internal Services & Work Orders,56123,City Accounting Services,110,3,Proposed,110
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS27,"FIRE DEPARTMENT SAFETY, EDUCATION, & TRAINING",Sworn Overtime,51216,Overtime: FLSA Premium,3087,3,Proposed,3087
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Services & Supplies,53116,Telephone,25000,3,Proposed,25000
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,21077702,3,Proposed,21077702
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,2321,Wildland Fire Prevention Assess District,0000000,UNDETERMINED PROJECT,PS20,DISPATCH COMMUNICATIONS,Internal Services & Work Orders,56113,Facilities: General Support,2829,3,Proposed,2829
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Services & Supplies,52211,Stationery and Office Supplies,12710,3,Proposed,12710
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS27,"FIRE DEPARTMENT SAFETY, EDUCATION, & TRAINING",Sworn Salaries,51427,Fire: Holiday Pay Premiums,8017,3,Proposed,8017
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS27,"FIRE DEPARTMENT SAFETY, EDUCATION, & TRAINING",Sworn Retirement,51612,Sworn: Retirement Accrual,48961,3,Proposed,48961
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,3100,Sewer Service Fund,0000000,UNDETERMINED PROJECT,PS20,DISPATCH COMMUNICATIONS,Internal Services & Work Orders,56113,Facilities: General Support,5684,3,Proposed,5684
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Services & Supplies,52311,Maintenance Supplies,5000,3,Proposed,5000
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,3100,Sewer Service Fund,0000000,UNDETERMINED PROJECT,PS20,DISPATCH COMMUNICATIONS,Internal Services & Work Orders,56123,City Accounting Services,220,3,Proposed,220
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Retirement,51612,Sworn: Retirement Accrual,19910368,3,Proposed,19910368
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,22458,3,Proposed,22458
FY15-16,Revenue,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,1TYM,ONE-TIME REV & EXP APPROPRIATIONS,Transfers from Fund Balance,49112,Transfers from Undesignated Fund Balance,3077209,3,Proposed,3077209
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Salaries,51512,Sworn: Paid Leave Charge,12726066,3,Proposed,12726066
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,P408510,MSR Y FY10-11 LABOR COST,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Overtime,51214,Sworn: Overtime,2000000,3,Proposed,2000000
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Internal Services & Work Orders,56312,Duplicating,102050,3,Proposed,102050
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Salaries,51419,Certificate,166703,3,Proposed,166703
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Services & Supplies,53313,Official Hospitality,-160,3,Proposed,-160
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Travel & Education,55212,Registration and Tuition,7000,3,Proposed,7000
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Salaries,51317,Allowance: Uniform,285692,3,Proposed,285692
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Internal Services & Work Orders,56111,Special Setups,1572598,3,Proposed,1572598
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Civilian Salaries,51111,Civilian: Regular,44500,3,Proposed,44500
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1100,Self Insurance Liability,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Services & Supplies,53412,Settlement: Claims,936010,3,Proposed,936010
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Salaries,51427,Fire: Holiday Pay Premiums,3212366,3,Proposed,3212366
FY15-16,Revenue,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Miscellaneous Revenue,48727,Other Revenue: Other Income,150000,3,Proposed,150000
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Travel & Education,55114,Per Diem and Lodging,4500,3,Proposed,4500
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Services & Supplies,53719,Miscellaneous Services,12000,3,Proposed,12000
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Salaries,51428,Premium: Bilingual,54600,3,Proposed,54600
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS27,"FIRE DEPARTMENT SAFETY, EDUCATION, & TRAINING",Sworn Salaries,51112,Sworn: Regular,101980,3,Proposed,101980
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,29240,3,Proposed,29240
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS27,"FIRE DEPARTMENT SAFETY, EDUCATION, & TRAINING",Sworn Salaries,51512,Sworn: Paid Leave Charge,31641,3,Proposed,31641
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS27,"FIRE DEPARTMENT SAFETY, EDUCATION, & TRAINING",Sworn Fringe Benefits,51614,Sworn: Fringe Benefits Accrual,52406,3,Proposed,52406
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Travel & Education,55112,Commercial Transportation,2000,3,Proposed,2000
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS27,"FIRE DEPARTMENT SAFETY, EDUCATION, & TRAINING",Sworn Salaries,51317,Allowance: Uniform,604,3,Proposed,604
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,13130,3,Proposed,13130
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Civilian Salaries,51511,Civilian: Paid Leave Charge,13217,3,Proposed,13217
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Salaries,51112,Sworn: Regular,41016227,3,Proposed,41016227
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Civilian Retirement,51611,Civilian: Retirement Accrual,19012,3,Proposed,19012
FY15-16,Expense,Fire,Fire Department,20411,Emergency / Suppression: Shift A,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS17,FIRE SUPPRESSION/FIELD OPERATIONS,Sworn Salaries,51426,Premium: Miscellaneous,405005,3,Proposed,405005
FY15-16,Expense,Fire,Fire Department,20511,Budget Planning: Administration,2250,Measure N: Fund,0000000,UNDETERMINED PROJECT,PS15,FIRE DEPARTMENT ADMINISTRATION,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,3279,3,Proposed,3279
FY15-16,Expense,Fire,Fire Department,20511,Budget Planning: Administration,2250,Measure N: Fund,0000000,UNDETERMINED PROJECT,PS15,FIRE DEPARTMENT ADMINISTRATION,Civilian Salaries,51111,Civilian: Regular,6496,3,Proposed,6496
FY15-16,Expense,Fire,Fire Department,20511,Budget Planning: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS15,FIRE DEPARTMENT ADMINISTRATION,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,11810,3,Proposed,11810
FY15-16,Expense,Fire,Fire Department,20511,Budget Planning: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS15,FIRE DEPARTMENT ADMINISTRATION,Civilian Retirement,51611,Civilian: Retirement Accrual,24038,3,Proposed,24038
FY15-16,Expense,Fire,Fire Department,20511,Budget Planning: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS15,FIRE DEPARTMENT ADMINISTRATION,Civilian Salaries,51111,Civilian: Regular,56265,3,Proposed,56265
FY15-16,Expense,Fire,Fire Department,20511,Budget Planning: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS15,FIRE DEPARTMENT ADMINISTRATION,Civilian Salaries,51511,Civilian: Paid Leave Charge,16711,3,Proposed,16711
FY15-16,Expense,Fire,Fire Department,20511,Budget Planning: Administration,2250,Measure N: Fund,0000000,UNDETERMINED PROJECT,PS15,FIRE DEPARTMENT ADMINISTRATION,Civilian Salaries,51511,Civilian: Paid Leave Charge,1930,3,Proposed,1930
FY15-16,Expense,Fire,Fire Department,20511,Budget Planning: Administration,2250,Measure N: Fund,0000000,UNDETERMINED PROJECT,PS15,FIRE DEPARTMENT ADMINISTRATION,Civilian Retirement,51611,Civilian: Retirement Accrual,2776,3,Proposed,2776
FY15-16,Expense,Fire,Fire Department,20511,Budget Planning: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,PS15,FIRE DEPARTMENT ADMINISTRATION,Services & Supplies,52612,Supplies: Craft,6000,3,Proposed,6000
