Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Type,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY13-14,Public Works,Public Works,30674, Illegal Dumping,3100,Sewer Service Fund,0000000 , UNDETERMINED PROJECT,NB35,KEEP OAKLAND CLEAN & BEAUTIFUL,Expense,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,11933,1,Adopted,11933
FY13-14,Public Works,Public Works,30674, Illegal Dumping,3100,Sewer Service Fund,0000000 , UNDETERMINED PROJECT,NB35,KEEP OAKLAND CLEAN & BEAUTIFUL,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,12767,1,Adopted,12767
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Revenue,Service Charges,45119,Public Works Fee: Miscellaneous,7148877,1,Adopted,7148877
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Revenue,Grants & Subsidies,46313,County Grant: Recycling - Measure D,1187500,1,Adopted,1187500
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Revenue,Transfers from Fund Balance,49112,Transfers from Undesignated Fund Balance,828722,1,Adopted,828722
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Salaries,51111,Civilian: Regular,95669,1,Adopted,95669
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Salaries,51111,Civilian: Regular,51773,1,Adopted,51773
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",2100,1,Adopted,2100
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",2100,1,Adopted,2100
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,26435,1,Adopted,26435
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,14306,1,Adopted,14306
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,33334,1,Adopted,33334
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,18039,1,Adopted,18039
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,45605,1,Adopted,45605
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,24680,1,Adopted,24680
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,52211,Stationery and Office Supplies,17175,1,Adopted,17175
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,52211,Stationery and Office Supplies,13725,1,Adopted,13725
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,52311,Maintenance Supplies,5700,1,Adopted,5700
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,52311,Maintenance Supplies,1900,1,Adopted,1900
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,52614,Books,150,1,Adopted,150
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,52614,Books,150,1,Adopted,150
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,52629,"Supplies: Misc. Athletic, Craft, and Cultural",300,1,Adopted,300
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,2910,1,Adopted,2910
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,1910,1,Adopted,1910
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,960,1,Adopted,960
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53116,Telephone,14715,1,Adopted,14715
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,53116,Telephone,9615,1,Adopted,9615
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53119,"Miscellaneous Utilities (Steam, Heating, Fuel)",150,1,Adopted,150
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53211,Rental: Land and Building,6285,1,Adopted,6285
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,53211,Rental: Land and Building,5975,1,Adopted,5975
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53212,Rental: Equipment (Other Than Office Equipment),700,1,Adopted,700
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53219,Rental: Miscellaneous,60,1,Adopted,60
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53311,City Promotion,900,1,Adopted,900
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53313,Official Hospitality,3770,1,Adopted,3770
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,53313,Official Hospitality,7540,1,Adopted,7540
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,53316,Marketing,6990,1,Adopted,6990
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53611,Postage and Mailing,2900,1,Adopted,2900
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,53611,Postage and Mailing,2300,1,Adopted,2300
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53711,Stipend to Volunteers,1920,1,Adopted,1920
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Services & Supplies,53711,Stipend to Volunteers,1920,1,Adopted,1920
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53719,Miscellaneous Services,3840,1,Adopted,3840
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Contract Services,54611,Repair and Maintenance: Machinery and Equipment,200,1,Adopted,200
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Contract Services,54619,Repair and Maintenance: Miscellaneous,200,1,Adopted,200
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Contract Services,54711,Printing and Duplicating Services,8675,1,Adopted,8675
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Contract Services,54711,Printing and Duplicating Services,6225,1,Adopted,6225
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Contract Services,54911,Services: Contract,10000,1,Adopted,10000
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Contract Services,54911,Services: Contract,10000,1,Adopted,10000
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Travel & Education,55112,Commercial Transportation,4100,1,Adopted,4100
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Travel & Education,55112,Commercial Transportation,2660,1,Adopted,2660
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",200,1,Adopted,200
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Travel & Education,55211,Periodical Subscriptions,4000,1,Adopted,4000
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Travel & Education,55219,Miscellaneous Educational Expenditures,4000,1,Adopted,4000
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Travel & Education,55311,Memberships: Employee Association Dues,4000,1,Adopted,4000
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Internal Services & Work Orders,56113,Facilities: General Support,1985,1,Adopted,1985
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,54924,1,Adopted,54924
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Internal Services & Work Orders,56211,Modifications: Telephone and Installations,340,1,Adopted,340
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Internal Services & Work Orders,56312,Duplicating,5300,1,Adopted,5300
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Internal Services & Work Orders,56411,City Vehicle Rentals,4972,1,Adopted,4972
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Internal Services & Work Orders,56413,Pool Vehicle Usage,2360,1,Adopted,2360
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Internal Services & Work Orders,56413,Pool Vehicle Usage,3260,1,Adopted,3260
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,23078,1,Adopted,23078
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,12489,1,Adopted,12489
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,24689,1,Adopted,24689
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,13361,1,Adopted,13361
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,7760,Grant Clearing,A167810 , PROJECT MGT CLEARING,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Recoveries,62232,Overhead: Central Services Offset (Budgetary Only),-87084,1,Adopted,-87084
FY13-14,Public Works,Public Works,30681, Environmental Services: Administration,7760,Grant Clearing,A167810 , PROJECT MGT CLEARING,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Recoveries,62235,Overhead: Project Recoveries (Budgetary Only),-631044,1,Adopted,-631044
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Revenue,Service Charges,45119,Public Works Fee: Miscellaneous,150,1,Adopted,150
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Salaries,51111,Civilian: Regular,368404,1,Adopted,368404
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Allowances & Premiums,51420,License,5104,1,Adopted,5104
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,101798,1,Adopted,101798
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,128366,1,Adopted,128366
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,175619,1,Adopted,175619
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,52211,Stationery and Office Supplies,5000,1,Adopted,5000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,52311,Maintenance Supplies,6000,1,Adopted,6000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,7000,1,Adopted,7000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53313,Official Hospitality,5000,1,Adopted,5000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53611,Postage and Mailing,5000,1,Adopted,5000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Services & Supplies,53719,Miscellaneous Services,5000,1,Adopted,5000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Contract Services,54711,Printing and Duplicating Services,10000,1,Adopted,10000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,P275210 , NON-RESIDENTIAL RECYCLING,SC17,RECYCLING & SOLID WASTE,Expense,Contract Services,54919,Services: Miscellaneous Contract,300000,1,Adopted,300000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Contract Services,54919,Services: Miscellaneous Contract,6050000,1,Adopted,6050000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Travel & Education,55112,Commercial Transportation,3660,1,Adopted,3660
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Travel & Education,55212,Registration and Tuition,3950,1,Adopted,3950
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Travel & Education,55219,Miscellaneous Educational Expenditures,2870,1,Adopted,2870
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Travel & Education,55311,Memberships: Employee Association Dues,1250,1,Adopted,1250
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Internal Services & Work Orders,56113,Facilities: General Support,54436,1,Adopted,54436
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Internal Services & Work Orders,56123,City Accounting Services,1655,1,Adopted,1655
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Internal Services & Work Orders,56312,Duplicating,10000,1,Adopted,10000
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,88868,1,Adopted,88868
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC17,RECYCLING & SOLID WASTE,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,95075,1,Adopted,95075
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,7760,Grant Clearing,A167810 , PROJECT MGT CLEARING,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Salaries,51111,Civilian: Regular,90072,1,Adopted,90072
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,7760,Grant Clearing,A167810 , PROJECT MGT CLEARING,SC17,RECYCLING & SOLID WASTE,Expense,Allowances & Premiums,51420,License,2188,1,Adopted,2188
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,7760,Grant Clearing,A167810 , PROJECT MGT CLEARING,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,24888,1,Adopted,24888
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,7760,Grant Clearing,A167810 , PROJECT MGT CLEARING,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,31384,1,Adopted,31384
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,7760,Grant Clearing,A167810 , PROJECT MGT CLEARING,SC17,RECYCLING & SOLID WASTE,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,42938,1,Adopted,42938
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,7760,Grant Clearing,A167810 , PROJECT MGT CLEARING,SC17,RECYCLING & SOLID WASTE,Expense,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,21727,1,Adopted,21727
FY13-14,Public Works,Public Works,30682, Environmental Services: Recycling Solid Waste,7760,Grant Clearing,A167810 , PROJECT MGT CLEARING,SC17,RECYCLING & SOLID WASTE,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,23245,1,Adopted,23245
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Revenue,Service Charges,45119,Public Works Fee: Miscellaneous,550,1,Adopted,550
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Salaries,51111,Civilian: Regular,84866,1,Adopted,84866
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Salaries,51122,Temporary: Regular Part Time,44868,1,Adopted,44868
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Allowances & Premiums,51420,License,3052,1,Adopted,3052
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Allowances & Premiums,51426,Premium: Miscellaneous,400,1,Adopted,400
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,23451,1,Adopted,23451
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,29570,1,Adopted,29570
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,43935,1,Adopted,43935
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Retirement,51627,Retirement Contributions,1683,1,Adopted,1683
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,28952,1,Adopted,28952
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1710,Recycling Program,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,30974,1,Adopted,30974
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1720,Comprehensive Clean-up,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Salaries,51111,Civilian: Regular,146603,1,Adopted,146603
FY13-14,Public Works,Public Works,30683, Environmental Services: Environmental Remediation,1720,Comprehensive Clean-up,0000000 , UNDETERMINED PROJECT,SC26,SUSTAINABLE OAKLAND PROGRAM,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,40510,1,Adopted,40510
