Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount as number,Budget Type,Budget Name,Amount
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,52615,Records and Tapes - Unrecorded,Services & Supplies,207400,2,Adjusted,207400
FY16-17,Expense,Public Library,Library,61511,African-American Museum Library,2241,Measure Q-Library Services Retention & Enhancement,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,52613,Supplies: Exhibit,Services & Supplies,10000,2,Adjusted,10000
FY16-17,Expense,Public Library,Library,61131,Automation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,53212,Rental: Equipment (Other Than Office Equipment),Services & Supplies,70310,2,Adjusted,70310
FY16-17,Expense,Public Library,Library,61133,Community Relations,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,53311,City Promotion,Services & Supplies,30000,2,Adjusted,30000
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,53313,Official Hospitality,Services & Supplies,570,2,Adjusted,570
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,54711,Printing and Duplicating Services,Contract Services,4370,2,Adjusted,4370
FY16-17,Expense,Public Library,Library,61132,Teen Services,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,55214,On-Line Database Service,Travel & Education,42000,2,Adjusted,42000
FY16-17,Expense,Public Library,Library,61321,Support Services Unit,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,55212,Registration and Tuition,Travel & Education,3000,2,Adjusted,3000
FY16-17,Revenue,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,49212,Operating Transfers: Other,Interfund Transfers,754121,2,Adjusted,754121
FY16-17,Revenue,Public Library,Library,61111,Director,2241,Measure Q-Library Services Retention & Enhancement,IP59,FINANCIAL MANAGEMENT,49212,Operating Transfers: Other,Interfund Transfers,500000,2,Adjusted,500000
FY16-17,Expense,Public Library,Library,61336,Montclair Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,56859,2,Adjusted,56859
FY16-17,Expense,Public Library,Library,61346,Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,13856,2,Adjusted,13856
FY16-17,Expense,Public Library,Library,61212,On-Call Public Services,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,52091,2,Adjusted,52091
FY16-17,Expense,Public Library,Library,61237,Children's Room,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51111,Civilian: Regular,Civilian Salaries,154759,2,Adjusted,154759
FY16-17,Expense,Public Library,Library,61339,District I Administration,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51111,Civilian: Regular,Civilian Salaries,129942,2,Adjusted,129942
FY16-17,Expense,Public Library,Library,61336,Montclair Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51111,Civilian: Regular,Civilian Salaries,46762,2,Adjusted,46762
FY16-17,Expense,Public Library,Library,61333,Eastmont Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,1650,2,Adjusted,1650
FY16-17,Expense,Public Library,Library,61331,Brookfield Village Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,1650,2,Adjusted,1650
FY16-17,Expense,Public Library,Library,61243,Circulation,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51428,Premium: Bilingual,Allowances & Premiums,3510,2,Adjusted,3510
FY16-17,Expense,Public Library,Library,61135,Acquisitions,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51428,Premium: Bilingual,Allowances & Premiums,1170,2,Adjusted,1170
FY16-17,Expense,Public Library,Library,61348,West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51425,Health and Welfare Benefits,Allowances & Premiums,4095,2,Adjusted,4095
FY16-17,Expense,Public Library,Library,61213,Literacy,2241,Measure Q-Library Services Retention & Enhancement,NB19,LITERACY PROGRAMS,51425,Health and Welfare Benefits,Allowances & Premiums,2990,2,Adjusted,2990
FY16-17,Expense,Public Library,Library,61212,On-Call Public Services,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51421,Incentive and Special,Allowances & Premiums,4874,2,Adjusted,4874
FY16-17,Expense,Public Library,Library,61335,M.L. King Jr. Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,19589,2,Adjusted,19589
FY16-17,Expense,Public Library,Library,61339,District I Administration,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,40047,2,Adjusted,40047
FY16-17,Expense,Public Library,Library,61332,Dimond Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,69604,2,Adjusted,69604
FY16-17,Expense,Public Library,Library,61212,On-Call Public Services,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,6444,2,Adjusted,6444
FY16-17,Expense,Public Library,Library,61332,Dimond Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,114366,2,Adjusted,114366
FY16-17,Expense,Public Library,Library,61212,On-Call Public Services,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,12484,2,Adjusted,12484
FY16-17,Expense,Public Library,Library,61311,Branch Administration,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,86051,2,Adjusted,86051
FY16-17,Expense,Public Library,Library,61212,On-Call Public Services,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,3475,2,Adjusted,3475
FY16-17,Expense,Public Library,Library,61313,Children's Services / Youth,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51611,Civilian: Retirement Accrual,Civilian Retirement,78571,2,Adjusted,78571
FY16-17,Expense,Public Library,Library,61343,Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51611,Civilian: Retirement Accrual,Civilian Retirement,35637,2,Adjusted,35637
FY16-17,Expense,Public Library,Library,61243,Circulation,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51627,Retirement Contributions,Civilian Retirement,3769,2,Adjusted,3769
FY16-17,Expense,Public Library,Library,61135,Acquisitions,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51627,Retirement Contributions,Civilian Retirement,2473,2,Adjusted,2473
FY16-17,Expense,Public Library,Library,61132,Teen Services,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51627,Retirement Contributions,Civilian Retirement,5618,2,Adjusted,5618
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51627,Retirement Contributions,Civilian Retirement,737,2,Adjusted,737
FY16-17,Expense,Public Library,Library,61213,Literacy,2241,Measure Q-Library Services Retention & Enhancement,NB19,LITERACY PROGRAMS,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,5000,2,Adjusted,5000
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",Services & Supplies,41010,2,Adjusted,41010
FY16-17,Expense,Public Library,Library,61321,Support Services Unit,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",Services & Supplies,12290,2,Adjusted,12290
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,52211,Stationery and Office Supplies,Services & Supplies,149400,2,Adjusted,149400
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,52311,Maintenance Supplies,Services & Supplies,800,2,Adjusted,800
FY16-17,Expense,Public Library,Library,61213,Literacy,2241,Measure Q-Library Services Retention & Enhancement,NB19,LITERACY PROGRAMS,52911,Bottled Water and Food for Human Consumption,Services & Supplies,3000,2,Adjusted,3000
FY16-17,Expense,Public Library,Library,61231,Art / History / Literature,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,53116,Telephone,Services & Supplies,6074,2,Adjusted,6074
FY16-17,Expense,Public Library,Library,61213,Literacy,2241,Measure Q-Library Services Retention & Enhancement,NB19,LITERACY PROGRAMS,53719,Miscellaneous Services,Services & Supplies,4000,2,Adjusted,4000
FY16-17,Expense,Public Library,Library,61133,Community Relations,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,53716,"Printing, Duplication and Publication",Services & Supplies,28000,2,Adjusted,28000
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,54624,Management Fees,Contract Services,41400,2,Adjusted,41400
FY16-17,Expense,Public Library,Library,61141,Materials Unit,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,55214,On-Line Database Service,Travel & Education,168000,2,Adjusted,168000
FY16-17,Expense,Public Library,Library,61141,Materials Unit,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,55211,Periodical Subscriptions,Travel & Education,240000,2,Adjusted,240000
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,55311,Memberships: Employee Association Dues,Travel & Education,1540,2,Adjusted,1540
FY16-17,Revenue,Public Library,Library,61313,Children's Services / Youth,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,48715,Other Revenue: Receipt of Trust Funds,Miscellaneous Revenue,7500,2,Adjusted,7500
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51111,Civilian: Regular,Civilian Salaries,70759,2,Adjusted,70759
FY16-17,Expense,Public Library,Library,61236,Science  Business and Sociology,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,176650,2,Adjusted,176650
FY16-17,Expense,Public Library,Library,61341,Asian Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,153392,2,Adjusted,153392
FY16-17,Expense,Public Library,Library,61231,Art / History / Literature,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,235754,2,Adjusted,235754
FY16-17,Expense,Public Library,Library,61332,Dimond Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,91044,2,Adjusted,91044
FY16-17,Expense,Public Library,Library,61347,Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,46607,2,Adjusted,46607
FY16-17,Expense,Public Library,Library,61212,On-Call Public Services,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,187102,2,Adjusted,187102
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51111,Civilian: Regular,Civilian Salaries,91380,2,Adjusted,91380
FY16-17,Expense,Public Library,Library,61511,African-American Museum Library,2241,Measure Q-Library Services Retention & Enhancement,NB18,AFRICAN AMERICAN MUSEUM & LIBRARY AT OAKLAND,51111,Civilian: Regular,Civilian Salaries,262022,2,Adjusted,262022
FY16-17,Expense,Public Library,Library,61243,Circulation,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51111,Civilian: Regular,Civilian Salaries,188023,2,Adjusted,188023
FY16-17,Expense,Public Library,Library,61341,Asian Branch,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51111,Civilian: Regular,Civilian Salaries,50357,2,Adjusted,50357
FY16-17,Expense,Public Library,Library,61311,Branch Administration,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51111,Civilian: Regular,Civilian Salaries,177823,2,Adjusted,177823
FY16-17,Expense,Public Library,Library,61313,Children's Services / Youth,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51428,Premium: Bilingual,Allowances & Premiums,1170,2,Adjusted,1170
FY16-17,Expense,Public Library,Library,61344,Lakeview Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51425,Health and Welfare Benefits,Allowances & Premiums,6306,2,Adjusted,6306
FY16-17,Expense,Public Library,Library,61231,Art / History / Literature,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51425,Health and Welfare Benefits,Allowances & Premiums,24243,2,Adjusted,24243
FY16-17,Expense,Public Library,Library,61212,On-Call Public Services,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51425,Health and Welfare Benefits,Allowances & Premiums,13269,2,Adjusted,13269
FY16-17,Expense,Public Library,Library,61348,West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,33683,2,Adjusted,33683
FY16-17,Expense,Public Library,Library,61346,Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,20612,2,Adjusted,20612
FY16-17,Expense,Public Library,Library,61341,Asian Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,59503,2,Adjusted,59503
FY16-17,Expense,Public Library,Library,61345,Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,54570,2,Adjusted,54570
FY16-17,Expense,Public Library,Library,61237,Children's Room,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,50282,2,Adjusted,50282
FY16-17,Expense,Public Library,Library,61243,Circulation,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,59191,2,Adjusted,59191
FY16-17,Expense,Public Library,Library,61334,Elmhurst Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,18802,2,Adjusted,18802
FY16-17,Expense,Public Library,Library,61236,Science  Business and Sociology,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,108422,2,Adjusted,108422
FY16-17,Expense,Public Library,Library,61212,On-Call Public Services,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,1794,2,Adjusted,1794
FY16-17,Expense,Public Library,Library,61213,Literacy,2241,Measure Q-Library Services Retention & Enhancement,NB19,LITERACY PROGRAMS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,55924,2,Adjusted,55924
FY16-17,Expense,Public Library,Library,61333,Eastmont Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,89773,2,Adjusted,89773
FY16-17,Expense,Public Library,Library,61331,Brookfield Village Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,81420,2,Adjusted,81420
FY16-17,Expense,Public Library,Library,61344,Lakeview Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,3358,2,Adjusted,3358
FY16-17,Expense,Public Library,Library,61347,Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,35501,2,Adjusted,35501
FY16-17,Expense,Public Library,Library,61237,Children's Room,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,83252,2,Adjusted,83252
FY16-17,Expense,Public Library,Library,61132,Teen Services,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,88029,2,Adjusted,88029
FY16-17,Expense,Public Library,Library,61335,M.L. King Jr. Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51611,Civilian: Retirement Accrual,Civilian Retirement,29179,2,Adjusted,29179
FY16-17,Expense,Public Library,Library,61348,West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51611,Civilian: Retirement Accrual,Civilian Retirement,50333,2,Adjusted,50333
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51611,Civilian: Retirement Accrual,Civilian Retirement,41958,2,Adjusted,41958
FY16-17,Expense,Public Library,Library,61336,Montclair Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51611,Civilian: Retirement Accrual,Civilian Retirement,21471,2,Adjusted,21471
FY16-17,Expense,Public Library,Library,61221,Main Library Administration,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51611,Civilian: Retirement Accrual,Civilian Retirement,34181,2,Adjusted,34181
FY16-17,Expense,Public Library,Library,61341,Asian Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51627,Retirement Contributions,Civilian Retirement,5951,2,Adjusted,5951
FY16-17,Expense,Public Library,Library,61231,Art / History / Literature,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51627,Retirement Contributions,Civilian Retirement,9146,2,Adjusted,9146
FY16-17,Expense,Public Library,Library,61131,Automation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,149900,2,Adjusted,149900
FY16-17,Expense,Public Library,Library,61321,Support Services Unit,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,7170,2,Adjusted,7170
FY16-17,Expense,Public Library,Library,61321,Support Services Unit,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,52911,Bottled Water and Food for Human Consumption,Services & Supplies,680,2,Adjusted,680
FY16-17,Expense,Public Library,Library,61321,Support Services Unit,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,53719,Miscellaneous Services,Services & Supplies,3400,2,Adjusted,3400
FY16-17,Expense,Public Library,Library,61337,Rockridge Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,54620,Maintenance and Security,Contract Services,15600,2,Adjusted,15600
FY16-17,Expense,Public Library,Library,61321,Support Services Unit,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,54711,Printing and Duplicating Services,Contract Services,8510,2,Adjusted,8510
FY16-17,Revenue,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,41520,Local Taxes: Voter-Approved Special Tax,Local Tax,15894042,2,Adjusted,15894042
FY16-17,Revenue,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,49112,Transfers from Undesignated Fund Balance,Transfers from Fund Balance,1153831,2,Adjusted,1153831
FY16-17,Expense,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,19000,2,Adjusted,19000
FY16-17,Expense,Public Library,Library,61111,Director,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51111,Civilian: Regular,Civilian Salaries,70725,2,Adjusted,70725
FY16-17,Expense,Public Library,Library,61111,Director,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51511,Civilian: Paid Leave Charge,Civilian Salaries,21006,2,Adjusted,21006
FY16-17,Expense,Public Library,Library,61348,West Oakland Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,32581,2,Adjusted,32581
FY16-17,Expense,Public Library,Library,61339,District I Administration,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51122,Temporary: Regular Part Time,Civilian Salaries,42154,2,Adjusted,42154
FY16-17,Expense,Public Library,Library,61337,Rockridge Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51111,Civilian: Regular,Civilian Salaries,183307,2,Adjusted,183307
FY16-17,Expense,Public Library,Library,61334,Elmhurst Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51111,Civilian: Regular,Civilian Salaries,61857,2,Adjusted,61857
FY16-17,Expense,Public Library,Library,61135,Acquisitions,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51111,Civilian: Regular,Civilian Salaries,174868,2,Adjusted,174868
FY16-17,Expense,Public Library,Library,61321,Support Services Unit,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,1650,2,Adjusted,1650
FY16-17,Expense,Public Library,Library,61343,Golden Gate Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51428,Premium: Bilingual,Allowances & Premiums,1170,2,Adjusted,1170
FY16-17,Expense,Public Library,Library,61345,Cesar E Chavez Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51425,Health and Welfare Benefits,Allowances & Premiums,12941,2,Adjusted,12941
FY16-17,Expense,Public Library,Library,61243,Circulation,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51425,Health and Welfare Benefits,Allowances & Premiums,10074,2,Adjusted,10074
FY16-17,Expense,Public Library,Library,61346,Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51425,Health and Welfare Benefits,Allowances & Premiums,1638,2,Adjusted,1638
FY16-17,Expense,Public Library,Library,61212,On-Call Public Services,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51425,Health and Welfare Benefits,Allowances & Premiums,1556,2,Adjusted,1556
FY16-17,Expense,Public Library,Library,61331,Brookfield Village Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51511,Civilian: Paid Leave Charge,Civilian Salaries,49714,2,Adjusted,49714
FY16-17,Expense,Public Library,Library,61339,District I Administration,2241,Measure Q-Library Services Retention & Enhancement,NB37,LIBRARY SYSTEMWIDE SUPPORT,51511,Civilian: Paid Leave Charge,Civilian Salaries,16980,2,Adjusted,16980
FY16-17,Expense,Public Library,Library,61231,Art / History / Literature,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,72465,2,Adjusted,72465
FY16-17,Expense,Public Library,Library,61321,Support Services Unit,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,37560,2,Adjusted,37560
FY16-17,Expense,Public Library,Library,61339,District I Administration,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51611,Civilian: Retirement Accrual,Civilian Retirement,59662,2,Adjusted,59662
FY16-17,Expense,Public Library,Library,61346,Melrose Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51611,Civilian: Retirement Accrual,Civilian Retirement,31125,2,Adjusted,31125
FY16-17,Expense,Public Library,Library,61231,Art / History / Literature,2241,Measure Q-Library Services Retention & Enhancement,NB16,MAIN LIBRARY SERVICES,51611,Civilian: Retirement Accrual,Civilian Retirement,53831,2,Adjusted,53831
FY16-17,Expense,Public Library,Library,61347,Piedmont Branch,2241,Measure Q-Library Services Retention & Enhancement,NB17,BRANCH LIBRARY SERVICES,51611,Civilian: Retirement Accrual,Civilian Retirement,30732,2,Adjusted,30732
